votingrates,2019avprice,Unnamed: 0,Population - Total,per1000_compaint,num_donations,total_donated,min_donation,max_donation,avg_donation
0.2730844793713163,460937.1666666667,52,15083,154.6111516276603,62,783708.15,50.0,500000.0,12640.454032258065
0.2730844793713163,524355.8333333334,56,1145,932.7510917030568,27,62610.0,150.0,25000.0,2318.8888888888887
0.33408071748878926,628765.0833333334,57,1052,878.3269961977186,24,139558.2,50.0,50000.0,5814.925
0.33408071748878926,425756.5833333333,58,823,860.2673147023087,18,30007.55,100.0,10000.0,1667.086111111111
0.33408071748878926,368652.4166666667,49,29060,157.88024776324843,47,54460.01,0.01,25000.0,1158.7236170212766
0.33408071748878926,366560.5833333333,54,3287,519.9269850927898,29,291946.05,50.0,100000.0,10067.105172413792
0.21385902031063322,393365.0,45,29293,258.3893763015055,76,211596.79,71.53,25000.0,2784.168289473684
0.21385902031063322,299638.25,14,80059,325.70978903058995,26,127147.77,100.0,100000.0,4890.298846153846
0.28010139416983526,188402.91666666663,10,60939,468.9279443377804,12,15290.0,40.0,5000.0,1274.1666666666667
0.28010139416983526,388755.75,47,40548,151.30216040248595,80,249039.28,40.0,100000.0,3112.991
0.28010139416983526,434319.8333333333,50,33224,126.35444257163498,123,509111.24,50.0,50000.0,4139.1157723577235
0.3954727030625832,280536.9166666667,0,33735,15588.409663554172,11,25627.5,100.0,5762.5,2329.7727272727275
0.3954727030625832,307267.8333333333,38,50761,210.63414826343055,41,33214.0,10.0,10000.0,810.0975609756098
0.3726993865030675,569098.6666666666,25,71954,243.73905550768544,104,166389.0,10.0,25000.0,1599.8942307692307
0.3726993865030675,232435.16666666663,40,40590,233.85070214338504,49,57267.0,5.0,25000.0,1168.7142857142858
0.2857142857142857,340671.3333333333,37,54197,201.4687159805893,25,13375.0,25.0,2500.0,535.0
0.2579415501905972,133841.41666666666,3,83553,466.55416322573694,12,8390.0,15.0,5000.0,699.1666666666666
0.2927927927927928,466989.0833333333,4,94907,373.2179923504062,22,15950.0,100.0,2500.0,725.0
0.2755813953488372,158841.0,7,61207,520.7574297057525,7,1500.0,100.0,500.0,214.28571428571428
0.2755813953488372,155795.58333333334,5,67711,505.9886872147805,7,2200.0,100.0,1000.0,314.2857142857143
0.2712100139082058,57173.5,20,28018,759.6901991576843,1,500.0,500.0,500.0,500.0
0.2712100139082058,491897.25,24,53294,353.88599091830224,28,25960.0,15.0,10000.0,927.1428571428571
0.31274638633377133,174250.75,8,81283,381.7034312217807,7,25750.0,200.0,21100.0,3678.5714285714284
0.31274638633377133,168615.5,23,34892,551.759715694142,2,3500.0,1000.0,2500.0,1750.0
