zip,precinct,ward
60609,6,15
60609,7,15
60609,8,15
60632,8,15
60609,9,15
60632,9,15
60629,10,15
60636,10,15
60629,11,15
60632,11,15
60629,12,15
60629,13,15
60629,14,15
60629,15,15
60629,16,15
60636,17,15
60636,18,15
60636,19,15
60609,20,15
60632,20,15
60621,1,16
60636,1,16
60609,2,16
60636,3,16
60636,4,16
60636,5,16
60636,6,16
60609,7,16
60609,8,16
60636,9,16
60636,10,16
60621,11,16
60636,11,16
60609,12,16
60636,13,16
60621,14,16
60636,14,16
60609,15,16
60621,16,16
60629,17,16
60636,17,16
60629,18,16
60636,18,16
60629,19,16
60636,19,16
60621,20,16
60621,21,16
60636,21,16
60629,22,16
60636,22,16
60629,23,16
60636,24,16
60621,25,16
60629,1,17
60629,2,17
60629,3,17
60636,3,17
60636,4,17
60621,5,17
60636,5,17
60636,6,17
60636,7,17
60636,8,17
60621,9,17
60636,9,17
60620,10,17
60636,11,17
60636,12,17
60636,13,17
60621,14,17
60620,15,17
60620,16,17
60620,17,17
60621,17,17
60620,18,17
60620,19,17
60620,20,17
60620,21,17
60620,22,17
60620,23,17
60620,24,17
60620,25,17
60620,26,17
60620,27,17
60620,28,17
60620,29,17
60620,1,18
60620,2,18
60620,3,18
60620,4,18
60620,5,18
60652,6,18
60652,7,18
60652,8,18
60652,9,18
60652,10,18
60629,11,18
60636,11,18
60620,12,18
60652,12,18
60652,13,18
60629,14,18
60629,15,18
60652,15,18
60629,16,18
60652,17,18
60652,18,18
60652,19,18
60652,20,18
60652,21,18
60652,22,18
60652,23,18
60652,24,18
60652,25,18
60652,26,18
60643,1,19
60655,1,19
60643,2,19
60655,3,19
60655,4,19
60643,5,19
60655,6,19
60643,7,19
60655,7,19
60643,8,19
60643,9,19
60643,10,19
60655,11,19
60655,12,19
60643,13,19
60643,14,19
60655,15,19
60655,16,19
60655,17,19
60655,18,19
60643,19,19
60643,20,19
60655,21,19
60643,22,19
60643,23,19
60655,23,19
60655,24,19
60620,25,19
60643,25,19
60643,26,19
60643,27,19
60643,28,19
60655,29,19
60655,30,19
60643,31,19
60655,32,19
60655,33,19
60643,34,19
60655,34,19
60643,35,19
60643,36,19
60609,1,20
60609,2,20
60609,3,20
60609,4,20
60609,5,20
60609,6,20
60621,7,20
60621,8,20
60609,9,20
60621,9,20
60637,9,20
60621,10,20
60637,10,20
60621,11,20
60637,11,20
60637,12,20
60615,13,20
60615,14,20
60637,15,20
60637,16,20
60637,17,20
60637,18,20
60637,19,20
60637,20,20
60637,21,20
60637,22,20
60609,23,20
60643,1,21
60643,2,21
60643,3,21
60628,4,21
60643,4,21
60628,5,21
60628,6,21
60628,7,21
60643,7,21
60620,8,21
60628,8,21
60643,8,21
60643,9,21
60628,10,21
60643,10,21
60628,11,21
60628,12,21
60643,13,21
60628,14,21
60643,14,21
60628,15,21
60643,15,21
60620,16,21
60643,16,21
60628,17,21
60643,17,21
60643,18,21
60628,19,21
60643,19,21
60628,20,21
60643,20,21
60643,21,21
60628,22,21
60620,23,21
60620,24,21
60620,25,21
60620,26,21
60620,27,21
60620,28,21
60620,29,21
60643,29,21
60623,1,22
60623,2,22
60623,3,22
60623,4,22
60623,5,22
60623,6,22
60623,7,22
60623,8,22
60623,9,22
60623,10,22
60623,11,22
60623,12,22
60623,13,22
60623,14,22
60623,15,22
60632,16,22
60638,17,22
60638,18,22
60638,19,22
60638,1,23
60638,2,23
60638,3,23
60638,4,23
60638,5,23
60638,6,23
60638,7,23
60638,8,23
60638,9,23
60638,10,23
60638,11,23
60638,12,23
60638,13,23
60632,14,23
60632,15,23
60632,16,23
60632,17,23
60629,18,23
60632,18,23
60629,19,23
60629,20,23
60629,21,23
60629,22,23
60629,23,23
60629,24,23
60629,25,23
60629,26,23
60629,27,23
60629,28,23
60629,29,23
60629,30,23
60629,31,23
60629,32,23
60629,33,23
60644,1,24
60624,2,24
60623,3,24
60624,3,24
60623,4,24
60623,5,24
60624,6,24
60624,7,24
60623,8,24
60623,9,24
60624,10,24
60623,11,24
60624,11,24
60623,12,24
60612,13,24
60623,13,24
60624,13,24
60623,14,24
60624,14,24
60623,15,24
60623,16,24
60612,17,24
60623,17,24
60624,17,24
60608,18,24
60623,18,24
60608,19,24
60623,19,24
60623,20,24
60623,1,25
60623,2,25
60608,3,25
60623,3,25
60608,4,25
60608,5,25
60608,6,25
60608,7,25
60608,8,25
60608,9,25
60608,10,25
60608,11,25
60608,12,25
60608,13,25
60608,14,25
60607,15,25
60608,15,25
60608,16,25
60616,16,25
60607,17,25
60616,17,25
60639,1,26
60651,2,26
60647,3,26
60639,4,26
60647,5,26
60651,5,26
60647,6,26
60647,7,26
60639,8,26
60647,8,26
60647,9,26
60651,9,26
60651,10,26
60647,11,26
60647,12,26
60651,12,26
60647,13,26
60639,14,26
60651,14,26
60639,15,26
60651,16,26
60647,17,26
60639,18,26
60647,19,26
60622,20,26
60639,21,26
60639,22,26
60651,22,26
60647,23,26
60639,24,26
60622,25,26
60647,25,26
60622,26,26
60622,27,26
60647,28,26
60647,29,26
60647,30,26
60647,31,26
60651,31,26
60647,32,26
60642,1,27
60607,2,27
60624,3,27
60651,3,27
60607,4,27
60612,4,27
60612,5,27
60624,5,27
60651,5,27
60610,6,27
60642,7,27
60624,8,27
60610,9,27
60614,9,27
60642,9,27
60612,10,27
60642,11,27
60654,11,27
60610,12,27
60642,13,27
60612,14,27
60610,15,27
60654,15,27
60607,16,27
60661,16,27
60612,17,27
60607,18,27
60612,18,27
60624,19,27
60651,19,27
60610,20,27
60610,21,27
60612,22,27
60624,23,27
60651,24,27
60612,25,27
60622,25,27
60612,26,27
60607,27,27
60612,27,27
60622,27,27
60642,27,27
60610,28,27
60642,29,27
60644,1,28
60644,2,28
60644,3,28
60651,3,28
60624,4,28
60624,5,28
60624,6,28
60612,7,28
60624,7,28
60612,8,28
60624,8,28
60612,9,28
60612,10,28
60608,11,28
60612,11,28
60608,12,28
60612,12,28
60607,13,28
60607,14,28
60608,14,28
60607,15,28
60608,15,28
60608,16,28
60608,17,28
60612,17,28
60624,18,28
60624,19,28
60624,20,28
60624,21,28
60624,22,28
60624,23,28
60644,24,28
60644,25,28
60644,26,28
60634,1,29
60707,1,29
60634,2,29
60707,2,29
60707,3,29
60707,4,29
60707,5,29
60707,6,29
60707,7,29
60639,8,29
60707,8,29
60639,9,29
60639,10,29
60639,11,29
60639,12,29
60651,12,29
60651,13,29
60651,14,29
60651,15,29
60644,16,29
60651,16,29
60644,17,29
60651,17,29
60644,18,29
60644,19,29
60644,20,29
60644,21,29
60644,22,29
60644,23,29
60644,24,29
60634,1,30
60634,2,30
60618,3,30
60634,4,30
60641,4,30
60639,5,30
60641,6,30
60641,7,30
60618,8,30
60634,9,30
60641,9,30
60634,10,30
60641,10,30
60639,11,30
60634,12,30
60639,12,30
60634,13,30
60639,13,30
60634,14,30
60641,14,30
60618,15,30
60641,15,30
60634,16,30
60641,17,30
60618,18,30
60641,18,30
60641,19,30
60641,20,30
60634,21,30
60618,22,30
60641,22,30
60641,23,30
60641,24,30
60641,25,30
60618,26,30
60641,26,30
