Jurisdiction,Zipcode,DistrictType,PRECINCT Name
City of Chicago,60614,PRECINCT,20
City of Chicago,60614,PRECINCT,21
City of Chicago,60614,PRECINCT,22
City of Chicago,60614,PRECINCT,23
City of Chicago,60614,PRECINCT,24
City of Chicago,60614,PRECINCT,25
City of Chicago,60614,PRECINCT,4
City of Chicago,60614,PRECINCT,5
City of Chicago,60614,PRECINCT,6
City of Chicago,60614,PRECINCT,7
City of Chicago,60614,PRECINCT,8
City of Chicago,60614,PRECINCT,9
City of Chicago,60615,PRECINCT,1
City of Chicago,60615,PRECINCT,12
City of Chicago,60615,PRECINCT,13
City of Chicago,60615,PRECINCT,14
City of Chicago,60615,PRECINCT,15
City of Chicago,60615,PRECINCT,16
City of Chicago,60615,PRECINCT,17
City of Chicago,60615,PRECINCT,18
City of Chicago,60615,PRECINCT,19
City of Chicago,60615,PRECINCT,2
City of Chicago,60615,PRECINCT,20
City of Chicago,60615,PRECINCT,21
City of Chicago,60615,PRECINCT,22
City of Chicago,60615,PRECINCT,23
City of Chicago,60615,PRECINCT,24
City of Chicago,60615,PRECINCT,25
City of Chicago,60615,PRECINCT,3
City of Chicago,60615,PRECINCT,4
City of Chicago,60615,PRECINCT,5
City of Chicago,60615,PRECINCT,6
City of Chicago,60615,PRECINCT,7
City of Chicago,60615,PRECINCT,8
City of Chicago,60616,PRECINCT,1
City of Chicago,60616,PRECINCT,10
City of Chicago,60616,PRECINCT,11
City of Chicago,60616,PRECINCT,12
City of Chicago,60616,PRECINCT,13
City of Chicago,60616,PRECINCT,14
City of Chicago,60616,PRECINCT,16
City of Chicago,60616,PRECINCT,17
City of Chicago,60616,PRECINCT,18
City of Chicago,60616,PRECINCT,19
City of Chicago,60616,PRECINCT,2
City of Chicago,60616,PRECINCT,20
City of Chicago,60616,PRECINCT,21
City of Chicago,60616,PRECINCT,22
City of Chicago,60616,PRECINCT,23
City of Chicago,60616,PRECINCT,24
City of Chicago,60616,PRECINCT,26
City of Chicago,60616,PRECINCT,27
City of Chicago,60616,PRECINCT,3
City of Chicago,60616,PRECINCT,6
City of Chicago,60616,PRECINCT,7
City of Chicago,60616,PRECINCT,8
City of Chicago,60616,PRECINCT,9
City of Chicago,60617,PRECINCT,1
City of Chicago,60617,PRECINCT,10
City of Chicago,60617,PRECINCT,11
City of Chicago,60617,PRECINCT,12
City of Chicago,60617,PRECINCT,13
City of Chicago,60617,PRECINCT,14
City of Chicago,60617,PRECINCT,15
City of Chicago,60617,PRECINCT,16
City of Chicago,60617,PRECINCT,17
City of Chicago,60617,PRECINCT,18
City of Chicago,60617,PRECINCT,19
City of Chicago,60617,PRECINCT,2
City of Chicago,60617,PRECINCT,20
City of Chicago,60617,PRECINCT,21
City of Chicago,60617,PRECINCT,22
City of Chicago,60617,PRECINCT,23
City of Chicago,60617,PRECINCT,24
City of Chicago,60617,PRECINCT,25
City of Chicago,60617,PRECINCT,26
City of Chicago,60617,PRECINCT,27
City of Chicago,60617,PRECINCT,28
City of Chicago,60617,PRECINCT,29
City of Chicago,60617,PRECINCT,3
City of Chicago,60617,PRECINCT,30
City of Chicago,60617,PRECINCT,31
City of Chicago,60617,PRECINCT,4
City of Chicago,60617,PRECINCT,5
City of Chicago,60617,PRECINCT,6
City of Chicago,60617,PRECINCT,7
City of Chicago,60617,PRECINCT,8
City of Chicago,60617,PRECINCT,9
City of Chicago,60618,PRECINCT,1
City of Chicago,60618,PRECINCT,10
City of Chicago,60618,PRECINCT,11
City of Chicago,60618,PRECINCT,12
City of Chicago,60618,PRECINCT,13
City of Chicago,60618,PRECINCT,14
City of Chicago,60618,PRECINCT,15
City of Chicago,60618,PRECINCT,16
City of Chicago,60618,PRECINCT,17
City of Chicago,60618,PRECINCT,18
City of Chicago,60618,PRECINCT,19
City of Chicago,60618,PRECINCT,2
City of Chicago,60618,PRECINCT,20
City of Chicago,60618,PRECINCT,21
City of Chicago,60618,PRECINCT,22
City of Chicago,60618,PRECINCT,23
City of Chicago,60618,PRECINCT,24
City of Chicago,60618,PRECINCT,25
City of Chicago,60618,PRECINCT,26
City of Chicago,60618,PRECINCT,27
City of Chicago,60618,PRECINCT,28
City of Chicago,60618,PRECINCT,29
City of Chicago,60618,PRECINCT,3
City of Chicago,60618,PRECINCT,4
City of Chicago,60618,PRECINCT,5
City of Chicago,60618,PRECINCT,6
City of Chicago,60618,PRECINCT,7
City of Chicago,60618,PRECINCT,8
City of Chicago,60618,PRECINCT,9
City of Chicago,60619,PRECINCT,1
City of Chicago,60619,PRECINCT,10
City of Chicago,60619,PRECINCT,11
City of Chicago,60619,PRECINCT,12
City of Chicago,60619,PRECINCT,13
City of Chicago,60619,PRECINCT,14
City of Chicago,60619,PRECINCT,15
City of Chicago,60619,PRECINCT,16
City of Chicago,60619,PRECINCT,17
City of Chicago,60619,PRECINCT,18
City of Chicago,60619,PRECINCT,19
City of Chicago,60619,PRECINCT,2
City of Chicago,60619,PRECINCT,20
City of Chicago,60619,PRECINCT,21
City of Chicago,60619,PRECINCT,22
City of Chicago,60619,PRECINCT,23
City of Chicago,60619,PRECINCT,24
City of Chicago,60619,PRECINCT,25
City of Chicago,60619,PRECINCT,26
City of Chicago,60619,PRECINCT,27
City of Chicago,60619,PRECINCT,28
City of Chicago,60619,PRECINCT,3
City of Chicago,60619,PRECINCT,7
City of Chicago,60619,PRECINCT,8
City of Chicago,60619,PRECINCT,9
City of Chicago,60620,PRECINCT,1
City of Chicago,60620,PRECINCT,10
City of Chicago,60620,PRECINCT,12
City of Chicago,60620,PRECINCT,15
City of Chicago,60620,PRECINCT,16
City of Chicago,60620,PRECINCT,17
City of Chicago,60620,PRECINCT,18
City of Chicago,60620,PRECINCT,19
City of Chicago,60620,PRECINCT,2
City of Chicago,60620,PRECINCT,20
City of Chicago,60620,PRECINCT,21
City of Chicago,60620,PRECINCT,22
City of Chicago,60620,PRECINCT,23
City of Chicago,60620,PRECINCT,24
City of Chicago,60620,PRECINCT,25
City of Chicago,60620,PRECINCT,26
City of Chicago,60620,PRECINCT,27
City of Chicago,60620,PRECINCT,28
City of Chicago,60620,PRECINCT,29
City of Chicago,60620,PRECINCT,3
City of Chicago,60620,PRECINCT,4
City of Chicago,60620,PRECINCT,5
City of Chicago,60620,PRECINCT,8
City of Chicago,60621,PRECINCT,1
City of Chicago,60621,PRECINCT,10
City of Chicago,60621,PRECINCT,11
City of Chicago,60621,PRECINCT,12
City of Chicago,60621,PRECINCT,14
City of Chicago,60621,PRECINCT,16
City of Chicago,60621,PRECINCT,17
City of Chicago,60621,PRECINCT,2
City of Chicago,60621,PRECINCT,20
City of Chicago,60621,PRECINCT,21
City of Chicago,60621,PRECINCT,25
