Jurisdiction,Zipcode,DistrictType,PRECINCT Name
City of Chicago,60640,PRECINCT,9
City of Chicago,60641,PRECINCT,10
City of Chicago,60641,PRECINCT,11
City of Chicago,60641,PRECINCT,12
City of Chicago,60641,PRECINCT,13
City of Chicago,60641,PRECINCT,14
City of Chicago,60641,PRECINCT,15
City of Chicago,60641,PRECINCT,16
City of Chicago,60641,PRECINCT,17
City of Chicago,60641,PRECINCT,18
City of Chicago,60641,PRECINCT,19
City of Chicago,60641,PRECINCT,20
City of Chicago,60641,PRECINCT,21
City of Chicago,60641,PRECINCT,22
City of Chicago,60641,PRECINCT,23
City of Chicago,60641,PRECINCT,24
City of Chicago,60641,PRECINCT,25
City of Chicago,60641,PRECINCT,26
City of Chicago,60641,PRECINCT,27
City of Chicago,60641,PRECINCT,28
City of Chicago,60641,PRECINCT,29
City of Chicago,60641,PRECINCT,3
City of Chicago,60641,PRECINCT,4
City of Chicago,60641,PRECINCT,6
City of Chicago,60641,PRECINCT,7
City of Chicago,60641,PRECINCT,8
City of Chicago,60641,PRECINCT,9
City of Chicago,60642,PRECINCT,1
City of Chicago,60642,PRECINCT,11
City of Chicago,60642,PRECINCT,13
City of Chicago,60642,PRECINCT,19
City of Chicago,60642,PRECINCT,21
City of Chicago,60642,PRECINCT,23
City of Chicago,60642,PRECINCT,25
City of Chicago,60642,PRECINCT,26
City of Chicago,60642,PRECINCT,27
City of Chicago,60642,PRECINCT,29
City of Chicago,60642,PRECINCT,7
City of Chicago,60642,PRECINCT,9
City of Chicago,60643,PRECINCT,1
City of Chicago,60643,PRECINCT,10
City of Chicago,60643,PRECINCT,13
City of Chicago,60643,PRECINCT,14
City of Chicago,60643,PRECINCT,15
City of Chicago,60643,PRECINCT,16
City of Chicago,60643,PRECINCT,17
City of Chicago,60643,PRECINCT,18
City of Chicago,60643,PRECINCT,19
City of Chicago,60643,PRECINCT,2
City of Chicago,60643,PRECINCT,20
City of Chicago,60643,PRECINCT,21
City of Chicago,60643,PRECINCT,22
City of Chicago,60643,PRECINCT,23
City of Chicago,60643,PRECINCT,25
City of Chicago,60643,PRECINCT,26
City of Chicago,60643,PRECINCT,27
City of Chicago,60643,PRECINCT,28
City of Chicago,60643,PRECINCT,29
City of Chicago,60643,PRECINCT,3
City of Chicago,60643,PRECINCT,30
City of Chicago,60643,PRECINCT,31
City of Chicago,60643,PRECINCT,34
City of Chicago,60643,PRECINCT,35
City of Chicago,60643,PRECINCT,36
City of Chicago,60643,PRECINCT,4
City of Chicago,60643,PRECINCT,5
City of Chicago,60643,PRECINCT,7
City of Chicago,60643,PRECINCT,8
City of Chicago,60643,PRECINCT,9
City of Chicago,60644,PRECINCT,1
City of Chicago,60644,PRECINCT,11
City of Chicago,60644,PRECINCT,16
City of Chicago,60644,PRECINCT,17
City of Chicago,60644,PRECINCT,18
City of Chicago,60644,PRECINCT,19
City of Chicago,60644,PRECINCT,2
City of Chicago,60644,PRECINCT,20
City of Chicago,60644,PRECINCT,21
City of Chicago,60644,PRECINCT,22
City of Chicago,60644,PRECINCT,23
City of Chicago,60644,PRECINCT,24
City of Chicago,60644,PRECINCT,25
City of Chicago,60644,PRECINCT,26
City of Chicago,60644,PRECINCT,3
City of Chicago,60644,PRECINCT,5
City of Chicago,60644,PRECINCT,9
City of Chicago,60645,PRECINCT,1
City of Chicago,60645,PRECINCT,10
City of Chicago,60645,PRECINCT,11
City of Chicago,60645,PRECINCT,12
City of Chicago,60645,PRECINCT,13
City of Chicago,60645,PRECINCT,14
City of Chicago,60645,PRECINCT,15
City of Chicago,60645,PRECINCT,16
City of Chicago,60645,PRECINCT,18
City of Chicago,60645,PRECINCT,2
City of Chicago,60645,PRECINCT,22
City of Chicago,60645,PRECINCT,27
City of Chicago,60645,PRECINCT,3
City of Chicago,60645,PRECINCT,4
City of Chicago,60645,PRECINCT,5
City of Chicago,60645,PRECINCT,6
City of Chicago,60645,PRECINCT,7
City of Chicago,60645,PRECINCT,8
City of Chicago,60645,PRECINCT,9
City of Chicago,60646,PRECINCT,1
City of Chicago,60646,PRECINCT,10
City of Chicago,60646,PRECINCT,11
City of Chicago,60646,PRECINCT,14
City of Chicago,60646,PRECINCT,17
City of Chicago,60646,PRECINCT,18
City of Chicago,60646,PRECINCT,2
City of Chicago,60646,PRECINCT,20
City of Chicago,60646,PRECINCT,21
City of Chicago,60646,PRECINCT,22
City of Chicago,60646,PRECINCT,23
City of Chicago,60646,PRECINCT,27
City of Chicago,60646,PRECINCT,3
City of Chicago,60646,PRECINCT,30
City of Chicago,60646,PRECINCT,31
City of Chicago,60646,PRECINCT,32
City of Chicago,60646,PRECINCT,33
City of Chicago,60646,PRECINCT,34
City of Chicago,60646,PRECINCT,4
City of Chicago,60646,PRECINCT,5
City of Chicago,60646,PRECINCT,6
City of Chicago,60646,PRECINCT,7
City of Chicago,60646,PRECINCT,8
City of Chicago,60646,PRECINCT,9
City of Chicago,60647,PRECINCT,1
City of Chicago,60647,PRECINCT,10
City of Chicago,60647,PRECINCT,11
City of Chicago,60647,PRECINCT,12
City of Chicago,60647,PRECINCT,13
City of Chicago,60647,PRECINCT,14
City of Chicago,60647,PRECINCT,15
City of Chicago,60647,PRECINCT,17
City of Chicago,60647,PRECINCT,18
City of Chicago,60647,PRECINCT,19
City of Chicago,60647,PRECINCT,2
City of Chicago,60647,PRECINCT,21
City of Chicago,60647,PRECINCT,22
City of Chicago,60647,PRECINCT,23
City of Chicago,60647,PRECINCT,24
City of Chicago,60647,PRECINCT,25
City of Chicago,60647,PRECINCT,26
City of Chicago,60647,PRECINCT,27
City of Chicago,60647,PRECINCT,28
City of Chicago,60647,PRECINCT,29
City of Chicago,60647,PRECINCT,3
City of Chicago,60647,PRECINCT,30
City of Chicago,60647,PRECINCT,31
City of Chicago,60647,PRECINCT,32
City of Chicago,60647,PRECINCT,4
City of Chicago,60647,PRECINCT,5
City of Chicago,60647,PRECINCT,6
City of Chicago,60647,PRECINCT,7
City of Chicago,60647,PRECINCT,8
City of Chicago,60647,PRECINCT,9
City of Chicago,60649,PRECINCT,1
City of Chicago,60649,PRECINCT,10
City of Chicago,60649,PRECINCT,11
City of Chicago,60649,PRECINCT,12
City of Chicago,60649,PRECINCT,14
City of Chicago,60649,PRECINCT,2
City of Chicago,60649,PRECINCT,3
City of Chicago,60649,PRECINCT,30
City of Chicago,60649,PRECINCT,4
City of Chicago,60649,PRECINCT,5
City of Chicago,60649,PRECINCT,6
City of Chicago,60649,PRECINCT,7
City of Chicago,60649,PRECINCT,8
City of Chicago,60649,PRECINCT,9
City of Chicago,60651,PRECINCT,10
City of Chicago,60651,PRECINCT,12
City of Chicago,60651,PRECINCT,13
City of Chicago,60651,PRECINCT,14
City of Chicago,60651,PRECINCT,15
City of Chicago,60651,PRECINCT,16
City of Chicago,60651,PRECINCT,17
City of Chicago,60651,PRECINCT,18
City of Chicago,60651,PRECINCT,19
City of Chicago,60651,PRECINCT,2
City of Chicago,60651,PRECINCT,20
City of Chicago,60651,PRECINCT,21
City of Chicago,60651,PRECINCT,22
City of Chicago,60651,PRECINCT,24
City of Chicago,60651,PRECINCT,3
City of Chicago,60651,PRECINCT,31
City of Chicago,60651,PRECINCT,4
City of Chicago,60651,PRECINCT,5
City of Chicago,60651,PRECINCT,6
City of Chicago,60651,PRECINCT,7
City of Chicago,60651,PRECINCT,8
City of Chicago,60651,PRECINCT,9
City of Chicago,60652,PRECINCT,10
City of Chicago,60652,PRECINCT,12
City of Chicago,60652,PRECINCT,13
City of Chicago,60652,PRECINCT,15
City of Chicago,60652,PRECINCT,17
City of Chicago,60652,PRECINCT,18
City of Chicago,60652,PRECINCT,19
City of Chicago,60652,PRECINCT,20
City of Chicago,60652,PRECINCT,21
City of Chicago,60652,PRECINCT,22
City of Chicago,60652,PRECINCT,23
City of Chicago,60652,PRECINCT,24
City of Chicago,60652,PRECINCT,25
City of Chicago,60652,PRECINCT,26
City of Chicago,60652,PRECINCT,6
City of Chicago,60652,PRECINCT,7
City of Chicago,60652,PRECINCT,8
City of Chicago,60652,PRECINCT,9
City of Chicago,60653,PRECINCT,1
City of Chicago,60653,PRECINCT,10
City of Chicago,60653,PRECINCT,11
City of Chicago,60653,PRECINCT,12
City of Chicago,60653,PRECINCT,13
City of Chicago,60653,PRECINCT,14
City of Chicago,60653,PRECINCT,15
City of Chicago,60653,PRECINCT,16
City of Chicago,60653,PRECINCT,17
City of Chicago,60653,PRECINCT,18
City of Chicago,60653,PRECINCT,2
City of Chicago,60653,PRECINCT,20
City of Chicago,60653,PRECINCT,23
City of Chicago,60653,PRECINCT,24
City of Chicago,60653,PRECINCT,26
City of Chicago,60653,PRECINCT,4
City of Chicago,60653,PRECINCT,5
City of Chicago,60653,PRECINCT,6
City of Chicago,60653,PRECINCT,9
City of Chicago,60654,PRECINCT,10
City of Chicago,60654,PRECINCT,11
City of Chicago,60654,PRECINCT,12
City of Chicago,60654,PRECINCT,13
City of Chicago,60654,PRECINCT,14
City of Chicago,60654,PRECINCT,15
City of Chicago,60654,PRECINCT,16
City of Chicago,60654,PRECINCT,17
City of Chicago,60654,PRECINCT,18
City of Chicago,60654,PRECINCT,19
City of Chicago,60654,PRECINCT,20
City of Chicago,60654,PRECINCT,21
City of Chicago,60654,PRECINCT,22
City of Chicago,60655,PRECINCT,1
City of Chicago,60655,PRECINCT,11
City of Chicago,60655,PRECINCT,12
City of Chicago,60655,PRECINCT,15
City of Chicago,60655,PRECINCT,16
City of Chicago,60655,PRECINCT,17
City of Chicago,60655,PRECINCT,18
City of Chicago,60655,PRECINCT,21
City of Chicago,60655,PRECINCT,23
City of Chicago,60655,PRECINCT,24
City of Chicago,60655,PRECINCT,29
City of Chicago,60655,PRECINCT,3
City of Chicago,60655,PRECINCT,30
City of Chicago,60655,PRECINCT,32
City of Chicago,60655,PRECINCT,33
City of Chicago,60655,PRECINCT,34
City of Chicago,60655,PRECINCT,4
City of Chicago,60655,PRECINCT,6
City of Chicago,60655,PRECINCT,7
City of Chicago,60656,PRECINCT,1
City of Chicago,60656,PRECINCT,10
City of Chicago,60656,PRECINCT,11
City of Chicago,60656,PRECINCT,12
City of Chicago,60656,PRECINCT,13
City of Chicago,60656,PRECINCT,14
City of Chicago,60656,PRECINCT,2
City of Chicago,60656,PRECINCT,3
City of Chicago,60656,PRECINCT,4
City of Chicago,60656,PRECINCT,5
City of Chicago,60656,PRECINCT,6
City of Chicago,60656,PRECINCT,7
City of Chicago,60656,PRECINCT,8
City of Chicago,60656,PRECINCT,9
City of Chicago,60657,PRECINCT,1
City of Chicago,60657,PRECINCT,10
City of Chicago,60657,PRECINCT,11
City of Chicago,60657,PRECINCT,12
City of Chicago,60657,PRECINCT,13
City of Chicago,60657,PRECINCT,14
City of Chicago,60657,PRECINCT,15
City of Chicago,60657,PRECINCT,16
City of Chicago,60657,PRECINCT,17
City of Chicago,60657,PRECINCT,18
City of Chicago,60657,PRECINCT,2
City of Chicago,60657,PRECINCT,20
City of Chicago,60657,PRECINCT,21
City of Chicago,60657,PRECINCT,22
City of Chicago,60657,PRECINCT,23
City of Chicago,60657,PRECINCT,25
City of Chicago,60657,PRECINCT,3
City of Chicago,60657,PRECINCT,4
City of Chicago,60657,PRECINCT,5
City of Chicago,60657,PRECINCT,6
City of Chicago,60657,PRECINCT,7
City of Chicago,60657,PRECINCT,8
City of Chicago,60657,PRECINCT,9
City of Chicago,60659,PRECINCT,10
City of Chicago,60659,PRECINCT,11
City of Chicago,60659,PRECINCT,12
City of Chicago,60659,PRECINCT,13
City of Chicago,60659,PRECINCT,15
City of Chicago,60659,PRECINCT,17
City of Chicago,60659,PRECINCT,19
City of Chicago,60659,PRECINCT,2
City of Chicago,60659,PRECINCT,20
City of Chicago,60659,PRECINCT,21
City of Chicago,60659,PRECINCT,22
City of Chicago,60659,PRECINCT,23
City of Chicago,60659,PRECINCT,24
City of Chicago,60659,PRECINCT,25
City of Chicago,60659,PRECINCT,26
City of Chicago,60659,PRECINCT,27
City of Chicago,60659,PRECINCT,28
City of Chicago,60659,PRECINCT,35
City of Chicago,60659,PRECINCT,4
City of Chicago,60659,PRECINCT,5
City of Chicago,60659,PRECINCT,6
City of Chicago,60659,PRECINCT,8
City of Chicago,60659,PRECINCT,9
City of Chicago,60660,PRECINCT,1
City of Chicago,60660,PRECINCT,10
City of Chicago,60660,PRECINCT,11
City of Chicago,60660,PRECINCT,13
City of Chicago,60660,PRECINCT,15
City of Chicago,60660,PRECINCT,16
City of Chicago,60660,PRECINCT,18
City of Chicago,60660,PRECINCT,19
City of Chicago,60660,PRECINCT,2
City of Chicago,60660,PRECINCT,22
City of Chicago,60660,PRECINCT,25
City of Chicago,60660,PRECINCT,26
City of Chicago,60660,PRECINCT,27
City of Chicago,60660,PRECINCT,28
City of Chicago,60660,PRECINCT,3
City of Chicago,60660,PRECINCT,30
City of Chicago,60660,PRECINCT,31
City of Chicago,60660,PRECINCT,32
City of Chicago,60660,PRECINCT,33
City of Chicago,60660,PRECINCT,34
City of Chicago,60660,PRECINCT,35
City of Chicago,60660,PRECINCT,5
City of Chicago,60660,PRECINCT,6
City of Chicago,60660,PRECINCT,7
City of Chicago,60660,PRECINCT,8
City of Chicago,60661,PRECINCT,10
City of Chicago,60661,PRECINCT,11
City of Chicago,60661,PRECINCT,12
City of Chicago,60661,PRECINCT,13
City of Chicago,60661,PRECINCT,14
City of Chicago,60661,PRECINCT,16
City of Chicago,60661,PRECINCT,3
City of Chicago,60661,PRECINCT,5
City of Chicago,60706,PRECINCT,6
City of Chicago,60707,PRECINCT,1
City of Chicago,60707,PRECINCT,2
City of Chicago,60707,PRECINCT,3
City of Chicago,60707,PRECINCT,4
City of Chicago,60707,PRECINCT,5
City of Chicago,60707,PRECINCT,6
City of Chicago,60707,PRECINCT,7
City of Chicago,60707,PRECINCT,8
City of Chicago,60707,PRECINCT,9
City of Chicago,60827,PRECINCT,24
City of Chicago,60827,PRECINCT,25
City of Chicago,60827,PRECINCT,28
City of Chicago,60827,PRECINCT,30
