ward,precinct,zip
46.0,27.0,60613
46.0,31.0,60613
46.0,34.0,60613
46.0,35.0,60613
46.0,36.0,60613
46.0,38.0,60613
46.0,39.0,60613
46.0,19.0,60613
46.0,3.0,60613
47.0,6.0,60613
47.0,4.0,60613
47.0,5.0,60613
47.0,10.0,60613
47.0,12.0,60613
47.0,18.0,60613
47.0,24.0,60613
47.0,25.0,60613
47.0,27.0,60613
47.0,28.0,60613
47.0,29.0,60613
47.0,35.0,60613
47.0,37.0,60613
47.0,39.0,60613
47.0,41.0,60613
47.0,43.0,60613
47.0,44.0,60613
47.0,47.0,60613
47.0,33.0,60613
46.0,29.0,60640
40.0,22.0,60640
40.0,23.0,60640
40.0,31.0,60640
40.0,32.0,60640
40.0,33.0,60640
40.0,26.0,60640
40.0,13.0,60640
40.0,16.0,60640
40.0,25.0,60640
46.0,1.0,60640
46.0,4.0,60640
46.0,6.0,60640
46.0,8.0,60640
46.0,9.0,60640
46.0,11.0,60640
46.0,12.0,60640
46.0,16.0,60640
46.0,20.0,60640
46.0,22.0,60640
46.0,23.0,60640
46.0,25.0,60640
46.0,26.0,60640
46.0,27.0,60640
46.0,32.0,60640
46.0,37.0,60640
46.0,40.0,60640
46.0,21.0,60640
46.0,14.0,60640
46.0,2.0,60640
48.0,11.0,60640
48.0,28.0,60640
48.0,29.0,60640
47.0,38.0,60640
48.0,9.0,60640
47.0,30.0,60640
48.0,10.0,60640
47.0,15.0,60640
47.0,19.0,60640
47.0,23.0,60640
47.0,5.0,60640
47.0,10.0,60640
47.0,18.0,60640
47.0,22.0,60640
47.0,26.0,60640
47.0,31.0,60640
47.0,32.0,60640
47.0,34.0,60640
47.0,36.0,60640
47.0,37.0,60640
47.0,39.0,60640
47.0,41.0,60640
48.0,1.0,60640
48.0,2.0,60640
48.0,3.0,60640
48.0,4.0,60640
48.0,5.0,60640
48.0,6.0,60640
48.0,7.0,60640
48.0,12.0,60640
48.0,14.0,60640
48.0,17.0,60640
48.0,19.0,60640
48.0,21.0,60640
48.0,23.0,60640
48.0,24.0,60640
48.0,35.0,60640
48.0,36.0,60640
48.0,39.0,60640
48.0,44.0,60640
48.0,43.0,60640
48.0,41.0,60640
40.0,28.0,60626
40.0,37.0,60626
40.0,35.0,60626
50.0,13.0,60626
50.0,28.0,60626
50.0,35.0,60626
48.0,20.0,60626
48.0,15.0,60626
48.0,46.0,60626
48.0,27.0,60626
48.0,34.0,60626
48.0,45.0,60626
49.0,2.0,60626
49.0,12.0,60626
49.0,18.0,60626
49.0,1.0,60626
49.0,3.0,60626
49.0,4.0,60626
49.0,5.0,60626
49.0,6.0,60626
49.0,7.0,60626
49.0,9.0,60626
49.0,10.0,60626
49.0,11.0,60626
49.0,13.0,60626
49.0,14.0,60626
49.0,15.0,60626
49.0,16.0,60626
49.0,17.0,60626
49.0,19.0,60626
49.0,22.0,60626
49.0,23.0,60626
49.0,25.0,60626
49.0,27.0,60626
49.0,29.0,60626
49.0,31.0,60626
49.0,30.0,60626
49.0,26.0,60626
49.0,28.0,60626
49.0,20.0,60626
49.0,32.0,60626
49.0,33.0,60626
44.0,11.0,60657
46.0,30.0,60657
44.0,12.0,60657
44.0,6.0,60657
44.0,23.0,60657
44.0,24.0,60657
44.0,1.0,60657
44.0,7.0,60657
44.0,8.0,60657
44.0,9.0,60657
44.0,10.0,60657
44.0,3.0,60657
44.0,4.0,60657
44.0,5.0,60657
44.0,14.0,60657
44.0,15.0,60657
44.0,16.0,60657
44.0,17.0,60657
44.0,19.0,60657
44.0,20.0,60657
44.0,21.0,60657
44.0,22.0,60657
44.0,35.0,60657
44.0,26.0,60657
44.0,27.0,60657
44.0,29.0,60657
44.0,31.0,60657
44.0,32.0,60657
44.0,33.0,60657
44.0,36.0,60657
44.0,37.0,60657
44.0,38.0,60657
44.0,39.0,60657
44.0,40.0,60657
44.0,41.0,60657
44.0,34.0,60657
44.0,30.0,60657
44.0,28.0,60657
44.0,18.0,60657
44.0,13.0,60657
44.0,2.0,60657
46.0,31.0,60657
46.0,33.0,60657
46.0,36.0,60657
46.0,39.0,60657
46.0,19.0,60657
1.0,28.0,60657
43.0,46.0,60657
32.0,7.0,60657
32.0,8.0,60657
32.0,10.0,60657
32.0,15.0,60657
32.0,18.0,60657
32.0,21.0,60657
32.0,23.0,60657
32.0,24.0,60657
32.0,27.0,60657
32.0,30.0,60657
32.0,40.0,60657
32.0,41.0,60657
32.0,42.0,60657
32.0,38.0,60657
43.0,13.0,60657
43.0,2.0,60657
43.0,6.0,60657
43.0,18.0,60657
43.0,22.0,60657
43.0,31.0,60657
43.0,32.0,60657
43.0,42.0,60657
47.0,1.0,60657
47.0,6.0,60657
47.0,9.0,60657
47.0,11.0,60657
47.0,27.0,60657
47.0,47.0,60657
42.0,3.0,60607
42.0,9.0,60607
42.0,21.0,60607
42.0,16.0,60607
42.0,36.0,60607
11.0,2.0,60607
11.0,7.0,60607
11.0,3.0,60607
11.0,33.0,60607
11.0,38.0,60607
28.0,4.0,60607
28.0,5.0,60607
28.0,6.0,60607
28.0,8.0,60607
28.0,10.0,60607
28.0,27.0,60607
28.0,28.0,60607
25.0,3.0,60607
25.0,4.0,60607
25.0,10.0,60607
25.0,27.0,60607
25.0,20.0,60607
25.0,21.0,60607
25.0,31.0,60607
25.0,16.0,60607
25.0,25.0,60607
27.0,27.0,60607
27.0,33.0,60607
27.0,2.0,60607
27.0,45.0,60607
27.0,16.0,60607
27.0,11.0,60607
27.0,10.0,60607
27.0,1.0,60607
28.0,45.0,60607
28.0,18.0,60607
42.0,3.0,60661
42.0,18.0,60661
42.0,12.0,60661
42.0,21.0,60661
42.0,16.0,60661
42.0,36.0,60661
42.0,41.0,60661
25.0,3.0,60661
25.0,27.0,60661
27.0,45.0,60661
27.0,11.0,60661
42.0,1.0,60611
42.0,2.0,60611
42.0,19.0,60611
42.0,11.0,60611
42.0,22.0,60611
42.0,24.0,60611
42.0,27.0,60611
42.0,31.0,60611
42.0,35.0,60611
42.0,34.0,60611
42.0,29.0,60611
42.0,26.0,60611
42.0,25.0,60611
42.0,23.0,60611
42.0,20.0,60611
42.0,8.0,60611
42.0,7.0,60611
42.0,4.0,60611
42.0,10.0,60611
42.0,39.0,60611
42.0,40.0,60611
42.0,42.0,60611
2.0,13.0,60611
2.0,10.0,60611
2.0,11.0,60611
2.0,2.0,60611
2.0,18.0,60611
2.0,19.0,60611
2.0,29.0,60611
2.0,23.0,60611
2.0,27.0,60611
2.0,34.0,60611
2.0,40.0,60611
2.0,42.0,60611
2.0,43.0,60611
2.0,45.0,60611
42.0,1.0,60610
42.0,15.0,60610
42.0,19.0,60610
42.0,24.0,60610
42.0,5.0,60610
2.0,32.0,60610
2.0,9.0,60610
2.0,12.0,60610
2.0,28.0,60610
2.0,20.0,60610
2.0,29.0,60610
2.0,30.0,60610
2.0,23.0,60610
2.0,27.0,60610
2.0,31.0,60610
2.0,33.0,60610
2.0,34.0,60610
2.0,36.0,60610
2.0,37.0,60610
2.0,38.0,60610
2.0,39.0,60610
2.0,40.0,60610
2.0,41.0,60610
2.0,42.0,60610
2.0,43.0,60610
2.0,45.0,60610
2.0,46.0,60610
2.0,35.0,60610
43.0,45.0,60610
27.0,28.0,60610
27.0,42.0,60610
27.0,12.0,60610
27.0,38.0,60610
27.0,9.0,60610
27.0,11.0,60610
27.0,6.0,60610
27.0,37.0,60610
27.0,35.0,60610
27.0,21.0,60610
27.0,20.0,60610
27.0,46.0,60610
27.0,47.0,60610
27.0,48.0,60610
43.0,1.0,60610
43.0,4.0,60610
43.0,28.0,60610
43.0,32.0,60610
43.0,33.0,60610
43.0,35.0,60610
43.0,38.0,60610
43.0,43.0,60610
42.0,6.0,60602
42.0,9.0,60602
42.0,13.0,60602
42.0,33.0,60602
42.0,30.0,60602
42.0,10.0,60602
42.0,42.0,60602
42.0,6.0,60601
42.0,9.0,60601
42.0,13.0,60601
42.0,31.0,60601
42.0,33.0,60601
42.0,32.0,60601
42.0,30.0,60601
42.0,29.0,60601
42.0,28.0,60601
42.0,25.0,60601
42.0,10.0,60601
42.0,40.0,60601
42.0,42.0,60601
42.0,9.0,60605
42.0,33.0,60605
3.0,19.0,60605
3.0,22.0,60605
3.0,21.0,60605
3.0,26.0,60605
3.0,32.0,60605
3.0,33.0,60605
3.0,34.0,60605
3.0,39.0,60605
3.0,6.0,60605
3.0,14.0,60605
3.0,25.0,60605
3.0,13.0,60605
4.0,13.0,60605
4.0,2.0,60605
4.0,16.0,60605
4.0,21.0,60605
4.0,25.0,60605
4.0,17.0,60605
4.0,20.0,60605
4.0,37.0,60605
25.0,27.0,60605
25.0,21.0,60605
42.0,9.0,60604
42.0,33.0,60604
4.0,13.0,60604
4.0,21.0,60604
25.0,27.0,60604
42.0,9.0,60603
42.0,33.0,60603
42.0,42.0,60603
42.0,9.0,60606
42.0,14.0,60606
42.0,18.0,60606
42.0,12.0,60606
42.0,32.0,60606
42.0,17.0,60606
42.0,16.0,60606
42.0,41.0,60606
25.0,27.0,60606
42.0,9.0,60654
42.0,14.0,60654
42.0,15.0,60654
42.0,18.0,60654
42.0,12.0,60654
